,Nome,CGC,Endereco
0,"AFONSO CLAUDIO, ES",0170-8,"avenida presidente vargas num 110 - centro 296000 - afonso claudio, es tel: (27) 4003-1043 ag. numero: 0170-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
1,"ALEGRE, ES",0169-4,"rua dr. chacon num 6 - centro 295000 - alegre, es tel: (28) 4003-1043 ag. numero: 0169-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
2,"ALFREDO CHAVES, ES",4604-3,"avenida getulio vargas num 364 - centro 292400 - alfredo chaves, es tel: (27) 4003-1043 ag. numero: 4604-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
3,"PADRE ANCHIETA, ES",1978-0,"avenida rauta num 828 - justica i 292300 - anchieta, es tel: (28) 4003-1043 ag. numero: 1978-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
4,"ARACRUZ, ES",1112-6,"avenida venancio flores num 1111 - centro 2919010 - aracruz, es tel: (27) 4003-1043 ag. numero: 1112-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
5,"BAIXO GUANDU, ES",0718-8,"avenida carlos medeiros num 541 - centro 297300 - baixo guandu, es tel: (27) 4003-1043 ag. numero: 0718-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
6,"BARRA DE SAO FRANCISCO, ES",0719-6,"avenida prefeito edson henrique pereira num 430 - centro 298000 - barra de sao francisco, es tel: (27) 4003-1043 ag. numero: 0719-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
7,"BERNARDO HORTA, ES",2016-8,"rua professor quintiliano num 27 - centro 29300195 - cachoeiro de itapemirim, es tel: (28) 4003-1043 ag. numero: 2016-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
8,"CACHOEIRO DE ITAPEMIRIM, ES",0171-6,"avenida francisco lacerda de aguiar num 410 - paraiso 2930448 - cachoeiro de itapemirim, es tel: (28) 4003-1043 ag. numero: 0171-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
9,"TREVO, ES",3630-7,"rodovia engenheiro fabiano vivacqua num 191 - marbrasa 29313656 - cachoeiro de itapemirim, es tel: (28) 4003-1043 ag. numero: 3630-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
10,"AMERICA, ES",1539-3,"avenida mario gurgel num 956 - itaquari 29151570 - cariacica, es tel: (27) 4003-1043 ag. numero: 1539-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
11,"CARIACICA, ES",0590-8,"avenida expedito garcia num 75 - campo grande 29146201 - cariacica, es tel: (27) 4003-1043 ag. numero: 0590-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
12,"ITACIBA, ES",3308-1,"rodovia governador jose sette num s/n - itaciba 29150410 - cariacica, es tel: (27) 4003-1043 ag. numero: 3308-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
13,"CASTELO, ES",0591-6,"avenida aristeu borges de aguiar num 91 - centro 293600 - castelo, es tel: (28) 4003-1043 ag. numero: 0591-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
14,"COLATINA, ES",0172-4,"avenida getulio vargas num 537 - centro 2970011 - colatina, es tel: (27) 4003-1043 ag. numero: 0172-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
15,"SAO SILVANO, ES",1540-7,"avenida silvio avidos num 1049 - sao silvano 29703100 - colatina, es tel: (27) 4003-1043 ag. numero: 1540-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
16,"CONCEICAO DA BARRA, ES",1113-4,"avenida gov. jones dos santos neves num 159 - centro 299600 - conceicao da barra, es tel: (27) 4003-1043 ag. numero: 1113-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
17,"DOMINGOS MARTINS, ES",2040-0,"avenida presidente vargas num 472 - centro 292600 - domingos martins, es tel: (27) 4003-1043 ag. numero: 2040-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
18,"ECOPORANGA, ES",4608-6,"avenida milton motta num 807 - centro 298500 - ecoporanga, es tel: (27) 4003-1043 ag. numero: 4608-6 horario de atendimento: 10:00 as 16:00 (dias uteis)"
19,"GUACUI, ES",0557-6,"rua demerval amaral num 60 - centro 295600 - guacui, es tel: (28) 4003-1043 ag. numero: 0557-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
20,"GUARAPARI, ES",0881-8,"rua getulio vargas num 204 - centro 29200180 - guarapari, es tel: (27) 4003-1043 ag. numero: 0881-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
21,"MUQUICABA, ES",4192-0,"rodovia do sol num s/n - muquicaba 292155 - guarapari, es tel: (27) 4003-1043 ag. numero: 4192-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
