,Nome,CGC,Endereco
0,"ABAETE, MG",1059-6,"praca dr. amador a. silva num 151 - centro 356200 - abaete, mg tel: (37) 4003-1043 ag. numero: 1059-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
1,"AGUAS FORMOSAS, MG",3612-9,"rua deodoro de almeida pinto num 166 - centro 398800 - aguas formosas, mg tel: (33) 4003-1043 ag. numero: 3612-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
2,"AIMORES, MG",0704-8,"avenida raul soares num 104 - centro 352000 - aimores, mg tel: (33) 4003-1043 ag. numero: 0704-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
3,"ALEM PARAIBA, MG",1023-5,"rua coronel oscar cortes num 254 - centro 366600 - alem paraiba, mg tel: (32) 4003-1043 ag. numero: 1023-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
4,"ALFENAS, MG",0095-7,"praca getulio vargas num 334 - centro 3713073 - alfenas, mg tel: (37) 4003-1043 ag. numero: 0095-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
5,"LAGOS DE MINAS, MG",4390-7,"avenida jovino fernandes salles num 1240 - jardim alvorada 37135242 - alfenas, mg tel: (35) 4003-1043 ag. numero: 4390-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
6,"ALMENARA, MG",0606-8,"rua hermano souza num 105 - centro 399000 - almenara, mg tel: (33) 4003-1043 ag. numero: 0606-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
7,"ALPINOPOLIS, MG",4275-7,"avenida governador valadares num 539 - centro 379400 - alpinopolis, mg tel: (35) 4003-1043 ag. numero: 4275-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
8,"ANDRADAS, MG",0694-7,"rua coronel oliveira num 310 - centro 377950 - andradas, mg tel: (35) 4003-1043 ag. numero: 0694-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
9,"ARACUAI, MG",0705-6,"avenida doutor nuno melo num 286 - centro 396000 - aracuai, mg tel: (33) 4003-1043 ag. numero: 0705-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
10,"ARAGUARI, MG",0096-5,"avenida tiradentes num 381 - centro 38440238 - araguari, mg tel: (34) 4003-1043 ag. numero: 0096-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
11,"ARAXA, MG",0097-3,"avenida antonio carlos num 83 - centro 3818383 - araxa, mg tel: (34) 4003-1043 ag. numero: 0097-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
12,"ARCOS, MG",1696-9,"avenida governador valadares num 383 - centro 355880 - arcos, mg tel: (37) 4003-1043 ag. numero: 1696-9 horario de atendimento: 10:00 as 15:00 (dias uteis)"
13,"BAEPENDI, MG",0098-1,"rua jose alberto pelucio num 63 - centro 374430 - baependi, mg tel: (35) 4003-1043 ag. numero: 0098-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
14,"BAMBUI, MG",1901-1,"rua jose augusto chaves num 388 - centro 389000 - bambui, mg tel: (37) 4003-1043 ag. numero: 1901-1 horario de atendimento: 11:00 as 16:00 (dias uteis)"
