,Nome,CGC,Endereco
0,"ANGRA DOS REIS, RJ",0887-7,"rua coronel carvalho num 124 - centro 23900315 - angra dos reis, rj tel: (24) 4003-1043 ag. numero: 0887-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
1,"ARARUAMA, RJ",0888-5,"rua rosa raposo num 141 - centro 28979111 - araruama, rj tel: (22) 4003-1043 ag. numero: 0888-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
2,"ARMACAO DOS BUZIOS, RJ",3825-3,"avenida jose ribeiro dantas num s/n - manguinhos 289500 - armacao dos buzios, rj tel: (22) 4003-1043 ag. numero: 3825-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
3,"BARRA DO PIRAI, RJ",0177-5,"rua governador portela num 171 - centro 271230 - barra do pirai, rj tel: (24) 4003-1043 ag. numero: 0177-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
4,"03 DE OUTUBRO, RJ",3147-0,"rua josias cirilo maciel num 105 - vila nova 27321200 - barra mansa, rj tel: (24) 4003-1043 ag. numero: 3147-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
5,"BARRA MANSA, RJ",0176-7,"rua andrade figueira num 45 - centro 27330110 - barra mansa, rj tel: (24) 4003-1043 ag. numero: 0176-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
6,"BELFORD ROXO, RJ",4095-9,"avenida benjamim pinto dias num 1221 - centro 261300 - belford roxo, rj tel: (21) 4003-1043 ag. numero: 4095-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
7,"ESTRADA MANOEL DE SA, RJ",4655-8,"estrada manoel de sa num s/n - lote xv 261820 - belford roxo, rj tel: (21) 4003-1043 ag. numero: 4655-8 horario de atendimento: 10:00 as 16:00 (dias uteis)"
8,"SARAPUI, RJ",3390-1,"avenida benjamim pinto dias num 1724 - centro 261300 - belford roxo, rj tel: (21) 4003-1043 ag. numero: 3390-1 horario de atendimento: 10:00 as 16:00 (dias uteis)"
9,"BOM JARDIM, RJ",2060-5,"rua miguel de carvalho num 159 - centro 286600 - bom jardim, rj tel: (22) 4003-1043 ag. numero: 2060-5 horario de atendimento: 10:00 as 15:00 (dias uteis)"
10,"BOM JESUS DO ITABAPOANA, RJ",0178-3,"praca amaral peixoto num 76 - centro 283600 - bom jesus do itabapoana, rj tel: (22) 4003-1043 ag. numero: 0178-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
11,"BAIRRO SAO CRISTOVAO, RJ",4437-7,"avenida joaquim nogueira num 1305 - sao cristovao 28909490 - cabo frio, rj tel: (22) 4003-1043 ag. numero: 4437-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
12,"CABO FRIO, RJ",0179-1,"avenida assuncao num 848 - centro 28906200 - cabo frio, rj tel: (22) 4003-1043 ag. numero: 0179-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
13,"CACHOEIRAS DE MACACU, RJ",2061-3,"rua serafim coelho gomes num 5 - centro 286800 - cachoeiras de macacu, rj tel: (21) 4003-1043 ag. numero: 2061-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
14,"BARAO DE MIRACEMA, RJ",4337-0,"rua barao de miracema num 329 - centro 28035301 - campos dos goytacazes, rj tel: (22) 4003-1043 ag. numero: 4337-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
15,"BENTA PEREIRA, RJ",2524-0,"rua tenente-coronel cardoso num 517 - centro 28010801 - campos dos goytacazes, rj tel: (22) 4003-1043 ag. numero: 2524-0 horario de atendimento: 10:00 as 16:00 (dias uteis)"
16,"CAMPOS, RJ",0180-5,"boulevard francisco de paula carneiro num 1/9 - centro 28010230 - campos dos goytacazes, rj tel: (22) 4003-1043 ag. numero: 0180-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
17,"GUARUS, RJ",4120-3,"rua doutor andre luiz num 40/44 - parque jardim carioca 28080460 - campos dos goytacazes, rj tel: (22) 4003-1043 ag. numero: 4120-3 horario de atendimento: 10:00 as 16:00 (dias uteis)"
18,"PELINCA, RJ",3239-5,"rua manoel teodoro num 28 - centro 28030490 - campos dos goytacazes, rj tel: (22) 4003-1043 ag. numero: 3239-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
19,"TURFE CLUBE, RJ",1927-5,"avenida deputado alair ferreira num 435 - parque turf club 28024600 - campos dos goytacazes, rj tel: (22) 4003-1043 ag. numero: 1927-5 horario de atendimento: 10:00 as 16:00 (dias uteis)"
