,Nome,CGC,Endereco
0,"ADAMANTINA, SP",0276-3,"rua dep. salles filho num 280 - centro 178000 - adamantina, sp tel: (18) 4003-1043 ag. numero: 0276-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
1,"AGUAI, SP",3427-4,"rua major braga num 759 - centro 1386039 - aguai, sp tel: (19) 4003-1043 ag. numero: 3427-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
2,"AGUAS DE LINDOIA, SP",1177-0,"avenida brasil num 246 - centro 1394027 - aguas de lindoia, sp tel: (19) 4003-1043 ag. numero: 1177-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
3,"AGUAS DE SAO PEDRO, SP",0277-1,"rua joao batista de azevedo num 231 - centro 135250 - aguas de sao pedro, sp tel: (19) 4003-1043 ag. numero: 0277-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
4,"AGUDOS, SP",1153-3,"rua treze de maio num 320 - centro 171209 - agudos, sp tel: (14) 4003-1043 ag. numero: 1153-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
5,"ALTINOPOLIS, SP",4498-9,"rua coronel honorio palma num 108 - centro 143500 - altinopolis, sp tel: (16) 4003-1043 ag. numero: 4498-9 horario de atendimento: 10:00 as 16:00 (dias uteis)"
6,"AMERICANA, SP",0278-0,"rua primo piccolli num 310 - chacara girassol 13465640 - americana, sp tel: (19) 4003-1043 ag. numero: 0278-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
7,"AV CILLOS, SP",1814-7,"avenida de cillo num 1600 - cidade jardim i 13466550 - americana, sp tel: (19) 4003-1043 ag. numero: 1814-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
8,"AV IACANGA, SP",4493-8,"avenida iacanga num 1385 - jardim ipiranga 13468590 - americana, sp tel: (19) 4003-1043 ag. numero: 4493-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
9,"SAO VITO, SP",3296-4,"avenida paschoal ardito num 758 - sao manoel 13472130 - americana, sp tel: (19) 4003-1043 ag. numero: 3296-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
10,"AMERICO BRASILIENSE, SP",4236-6,"rua ribeiro de barros num 161 - centro 1482023 - americo brasiliense, sp tel: (16) 4003-1043 ag. numero: 4236-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
11,"AMPARO, SP",0279-8,"rua ferrucio guarizzo num 35 - centro 13900490 - amparo, sp tel: (19) 4003-1043 ag. numero: 0279-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
12,"ANDRADINA, SP",0280-1,"avenida barao do rio branco num 1225 - centro 169011 - andradina, sp tel: (18) 4003-1043 ag. numero: 0280-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
13,"APARECIDA, SP",1208-4,"rua monte carmelo num 291 - centro 125700 - aparecida, sp tel: (12) 4003-1043 ag. numero: 1208-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
14,"APIAI, SP",3854-7,"avenida leopoldo leme verneque num 39 - centro 183200 - apiai, sp tel: (15) 4003-1043 ag. numero: 3854-7 horario de atendimento: 10:00 as 15:00 (dias uteis)"
15,"ARACATUBA, SP",0281-0,"praca rui barbosa num 300 - centro 160100 - aracatuba, sp tel: (18) 4003-1043 ag. numero: 0281-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
16,"RUA BRASIL, SP",4122-0,"rua brasil num 239 - sao joao 1602510 - aracatuba, sp tel: (18) 4003-1043 ag. numero: 4122-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
17,"RUA DO FICO, SP",3504-1,"rua do fico num 410 - sao joaquim 16050387 - aracatuba, sp tel: (18) 4003-1043 ag. numero: 3504-1 horario de atendimento: 10:00 as 15:00 (dias uteis)"
18,"ALAMEDA PAULISTA, SP",2992-0,"alameda paulista num 1520 - jardim floridiana (vila xavier) 14810256 - araraquara, sp tel: (16) 4003-1043 ag. numero: 2992-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
19,"ARARAQUARA, SP",0282-8,"avenida brasil num 477 - centro 1480150 - araraquara, sp tel: (16) 4003-1043 ag. numero: 0282-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
20,"BAIRRO DO CARMO, SP",4235-8,"avenida sete de setembro num 1289 - centro 14800390 - araraquara, sp tel: (16) 4003-1043 ag. numero: 4235-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
21,"MORADA DO SOL, SP",4103-3,"avenida bento de abreu num 530 - jardim primavera 14802396 - araraquara, sp tel: (16) 4003-1043 ag. numero: 4103-3 horario de atendimento: 10:00 as 15:00 (dias uteis)"
22,"ARARAS, SP",0283-6,"praca barao de araras num 13 - centro 1360040 - araras, sp tel: (19) 4003-1043 ag. numero: 0283-6 horario de atendimento: 10:00 as 15:00 (dias uteis)"
23,"ARTUR NOGUEIRA, SP",2909-2,"avenida doutor fernando arens junior num 936 - vila queiroz 131634 - artur nogueira, sp tel: (19) 4003-1043 ag. numero: 2909-2 horario de atendimento: 10:00 as 15:00 (dias uteis)"
24,"ARUJA, SP",1187-8,"rua monteiro lobato num 165 - centro 7400555 - aruja, sp tel: (11) 4003-1043 ag. numero: 1187-8 horario de atendimento: 10:00 as 15:00 (dias uteis)"
25,"ASSIS, SP",0284-4,"rua nove de julho num 575 - centro 1980020 - assis, sp tel: (18) 4003-1043 ag. numero: 0284-4 horario de atendimento: 10:00 as 15:00 (dias uteis)"
26,"PORTAL DO PARANAPANEMA, SP",4234-0,"rua rui barbosa num 1506 - centro 198140 - assis, sp tel: (18) 4003-1043 ag. numero: 4234-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
27,"ALVINOPOLIS, SP",4492-0,"avenida dona gertrudes num 560 - alvinopolis 12942540 - atibaia, sp tel: (11) 4003-1043 ag. numero: 4492-0 horario de atendimento: 10:00 as 15:00 (dias uteis)"
