,Nome Fantasia,Razao Social,CNPJ,Agencia Vinculada,Email,Endereco,Atividade
0,"
                                        DOMINANTE ELETRO CELULARES
                                    ", DOMINANTE ELETRO LTDA, 09.151.310/0001-81, 170, WAGNER@DOMINANTEELETRO.COM.BR,"MARECHAL DEODORO 170, 170 - CENTRO
                                        29600-000. AFONSO CLAUDIO - ES
                                        (27) 37353735","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
1,"
                                        TEREZA BEHREND BESSERT 97013269700
                                    ", TEREZA BEHREND BESSERT 97013269700, 13.031.873/0001-03, 170, CBESSERT@HOTMAIL.COM,"SETE DE SETEMBRO, 00000 - SERRA PELADA
                                        29603-000. AFONSO CLAUDIO - ES
                                        (27) 37352648","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
2,"
                                        LLP COMERCIO DE PRODUTOS EM GERAL LOCACAO E TRANSPORTE LTDA
                                    ", LLP COMERCIO DE PRODUTOS EM GERAL LOCACAO E TRANSPORTE LTDA, 08.751.283/0001-15, 1978, TRANSPORTOLOCACOES@BOL.COM.BR,"AV RAUTA 753 LJ 03, 753 - ALVORADA
                                        29230-000. ANCHIETA - ES
                                        (27) 35361187","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- CONTA POUPANCA CAIXA FACIL- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
3,"
                                        MUNIZ CONSULTORIA E GESTAO EMPRESARIAL
                                    ", MUNIZ CONSULTORIA E EMPREENDIMETOS LTDA, 50.361.263/0001-02, 1734, JULIANAFMUNIZ@YAHOO.COM.BR,"R JERONIMO MONTEIRO 45 LOJA A, 45 - CENTRO
                                        29450-959. APIACA - ES
                                        (22) 999839192","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
4,"
                                        CAIXA AQUI SERVIÇOS
                                    ", LC SERVICOS DE CORRESPONDENTE LTDA, 08.781.920/0001-04, 1112, LC.CAIXAQUI2@GMAIL.COM,"RUA QUINTINO LOUREIRO 211, 211 - CENTRO
                                        29190-014. ARACRUZ - ES
                                        (27) 32563834","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
5,"
                                        ILHA E ILHA LTDA
                                    ", ILHA E ILHA LTDA, 13.980.737/0003-21, 1112, ILHA03ARACRUZ@GMAIL.COM,"R QUINTINO LOUREIRO 600 LOJA 02, 600 - CENTRO
                                        29190-482. ARACRUZ - ES
                                        (27) 995111877","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
6,"
                                        SUPER MERCADO GENTE BOA LTDA
                                    ", SUPER MERCADO GENTE BOA LTDA, 27.454.164/0001-45, 556, TIAGO_MILAGRES@HOTMAIL.COM,"AV SENADOR EURICO REZENDE 572 A, 572 - CENTRO
                                        29845-000. BOA ESPERANCA - ES
                                        (27) 37681255","Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
7,"
                                        CS EMPREENDIMENTOS IMOBILIARIOS LTDA
                                    ", CS EMPREENDIMENTOS IMOBILIARIOS LTDA, 44.089.768/0001-59, 2016, ADRIACONRADO@GMAIL.COM,"AV DOMINGOS ALCINO DADALTO 263, 263 - IBC
                                        29315-314. CACHOEIRO DE ITAPEMIRIM - ES
                                        (28) 999681320","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
8,"
                                        EXODUS IMOBILIARIA
                                    ", RAQUEL ABREU AMARAL 12147636770, 26.598.803/0001-83, 3630, RAQUELAMARALCORRETORA@GMAIL.COM,"RUA JOAO PESSINI, 2 A 18,  - SAO FRANCISCO DE ASSIS
                                        29317-430.  - ES
                                        (28) 998829238","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
9,"
                                        MULTI IMOVEIS
                                    ", MULTI IMOVEIS LTDA, 07.577.856/0001-73, 171, MULTIIMOVEIS@MULTIIMOVEIS.COM,"RUA AMPHILOPHIO BRAGA 27/43, 2743 - GILBERTO MACHADO
                                        29303-220. CACHOEIRO DE ITAPEMIRIM - ES
                                        (28) 35262020","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
