,Nome Fantasia,Razao Social,CNPJ,Agencia Vinculada,Email,Endereco,Atividade
0,"
                                        CAIXA FACIL
                                    ", PRISCILA MORAES DA COSTA ARAUJO 05895182755, 40.811.798/0001-76, 887, CAIXAFACILANGRA@GMAIL.COM,"DONA ANTONIA DE VILHENA, 00000 - CENTRO
                                        23900-580. ANGRA DOS REIS - RJ
                                        (24) 92671696","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
1,"
                                        CREDIMOB
                                    ", CREDIMOB ASSESSORIA DE CREDITO E FINANCIAMENTOS LTDA, 33.452.212/0001-69, 888, CREDIMOB.BR@GMAIL.COM,"JONH KENNEDY, 00000 - CENTRO
                                        28970-000. ARARUAMA - RJ
                                        (22) 988747266","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
2,"
                                        KELY MAROTTI SOLUCOES IMOBILIARIAS
                                    ", KELY MAROTTI SOLUCOES IMOBILIARIAS LTDA, 49.248.318/0001-85, 888, KELYMAROTTI@OUTLOOK.COM,"JOHN KENNEDY 0 SALA 07, 00000 - CENTRO
                                        28979-087. ARARUAMA - RJ
                                        (22) 974026381","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
3,"
                                        MV ASSESSORIA EM FINANCIAMENTOS LTDA
                                    ", MV ASSESSORIA EM FINANCIAMENTOS LTDA, 47.561.516/0001-79, 179, MARIO_MVN@HOTMAIL.COM,"ENCANTADO 12 QUADRA 59 LOTE 8, 00000 - CENTRO IGUABINHA
                                        28971-527. ARARUAMA - RJ
                                        (21) 970059831","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
4,"
                                        T & E COMERCIO SERVICO E ADMINISTRACOES
                                    ", T & E COMERCIO SERVICOS E ADMINISTRACOES LTDA, 27.604.977/0001-74, 888, CCA.ARARUAMA@HOTMAIL.COM,"AV NILO PECANHA 167 SALA 203, ARARUAMA, RJ, 167 - CENTRO
                                        28979-285. ARARUAMA - RJ
                                        (22) 997090152","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
5,"
                                        CAIXA AQUI BUZIOS
                                    ", GRUPO AP SOLUCOES LTDA, 29.931.133/0001-63, 3825, ALESSANDRA@CAIXAAQUIBUZIOS.COM.BR,"AV JOSE BENTO RIBEIRO DANTAS 5450 LJ 01, 5450 - MANGUINHOS
                                        28953-814. ARMACAO DOS BUZIOS - RJ
                                        (21) 996957575","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
6,"
                                        SINGULAR SERVICOS
                                    ", M S SINGULAR SERVICOS LTDA, 13.690.793/0001-60, 179, SINGULAR.FINANCIAMENTO@HOTMAIL.COM,"PRACA DA INDEPENDENCIA 16 A,  - CENTRO
                                        28930-000.  - RJ
                                        (22) 26222447","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
7,"
                                        57.118.755 FABIO HENRIQUE OLIVEIRA CABRAL
                                    ", 57.118.755 FABIO HENRIQUE OLIVEIRA CABRAL, 57.118.755/0001-02, 177, FHCABRAL1968@GMAIL.COM,"R MOREIRA DOS SANTOS 18 SALA 316, 00000 - CENTRO
                                        27135-030. BARRA DO PIRAI - RJ
                                        (24) 999679480","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
8,"
                                        COMFORT HOUSE SOLUCOES PARA CONFORTO
                                    ", CAZIRAGHI SUL COMERCIO E SERVICOS DE CLIMATIZACAO LTDA, 10.278.403/0001-50, 176, BARRAMANSA@COMFORTHOUSE.COM.BR,"R JOSE HIPOLITO 425 CASA 08, 425 - COTIARA
                                        27345-000. BARRA MANSA - RJ
                                        (24) 33224815","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
9,"
                                        CONQUISTA EMPREENDIMENTOS IMOBILIARIOS
                                    ", W RAYES EMPREENDIMENTOS IMOBILIARIOS LTD, 11.292.365/0001-53, 176, CONTATO@CONQUISTARJ.COM.BR,"R MICHEL WARDINI, 10,  - CENTRO
                                        27330-100.  - RJ
                                        (24) 33223259","Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
