,Nome,CGC,Endereco
0,"COSTA VERDE, RJ",4377-0,"avenida francisco magalhaes de castro num 920 - parque pereque (mambucaba) 2395320 - angra dos reis, rj ag. numero: 4377-0"
1,"AGRO CAMPOS DOS GOYTACAZES, RJ",7517-5,"boulevard francisco de paula carneiro num 1/9 - centro 28010230 - campos dos goytacazes, rj ag. numero: 7517-5"
2,"DIGITAL CAMPOS, RJ",5489-5,"boulevard francisco de paula carneiro num 1/9 - centro 28010230 - campos dos goytacazes, rj ag. numero: 5489-5"
3,"CASIMIRO DE ABREU, RJ",4870-4,"praca lucio andre num 5 - centro 288600 - casimiro de abreu, rj ag. numero: 4870-4"
4,AG EMPRESARIAL RIO METROPOLITANA,4264-1,"rua almirante grenfall num 405 bl 1 - parque duque 25085135 - duque de caxias, rj ag. numero: 4264-1"
5,"DIGITAL BAIXADA FLUMINENSE, RJ",2781-2,"avenida nilo pecanha num 249 - centro 25010145 - duque de caxias, rj ag. numero: 2781-2"
6,"PLATAFORMA EMPRESAS DUQUE CAXIAS,RJ",5417-8,"praca roberto silveira num 24 - centro 250705 - duque de caxias, rj ag. numero: 5417-8"
7,"ENG PAULO DE FRONTIN, RJ",4763-5,"rua joao batista ferrini num 65 - centro 266500 - engenheiro paulo de frontin, rj ag. numero: 4763-5"
8,AG EMPRESARIAL LESTE FLUMINENSE,4262-5,"avenida ernani do amaral peixoto num 335 - centro 2402071 - niteroi, rj ag. numero: 4262-5"
9,"DIGITAL NITEROI, RJ",2788-0,"avenida ernani do amaral peixoto num 335 - centro 24027900 - niteroi, rj ag. numero: 2788-0"
10,"ESTACAO DAS BARCAS, RJ",4670-1,"avenida ernani do amaral peixoto num 335 - centro 2402072 - niteroi, rj ag. numero: 4670-1"
11,"INGA, RJ",4725-2,"rua doutor nilo pecanha num 83 - inga 24210480 - niteroi, rj ag. numero: 4725-2"
12,"PLAT DIG METROPOLITANA, RJ",3820-2,"avenida ernani do amaral peixoto num 335 - centro 24027900 - niteroi, rj ag. numero: 3820-2"
13,"PLATAFORMA EMPRESAS NITEROI, RJ",6386-0,"avenida ernani do amaral peixoto num 335 - centro 2402072 - niteroi, rj ag. numero: 6386-0"
14,"TRT NITEROI, RJ",2732-4,"avenida ernani do amaral peixoto num 232 - centro 2402075 - niteroi, rj ag. numero: 2732-4"
15,"JUSTICA FEDERAL NOVA FRIBURGO, RJ",4014-2,"avenida engenheiro hans gaiser num 26 - centro 28605220 - nova friburgo, rj ag. numero: 4014-2"
16,"TOP SHOPPING, RJ",3238-7,"avenida governador roberto silveira num 540 - centro 2628560 - nova iguacu, rj ag. numero: 3238-7"
17,"ALTO DA SERRA, RJ",2217-9,"rua do imperador num 745 - centro 256203 - petropolis, rj ag. numero: 2217-9"
18,"DIGITAL SERRANA, RJ",7020-3,"rua do imperador, num 745 - centro 256203 - petropolis, rj ag. numero: 7020-3"
19,"28 DE SETEMBRO, RJ",3241-7,"boulevard vinte e oito de setembro num 36 - vila isabel 2055131 - rio de janeiro, rj ag. numero: 3241-7"
