,Nome,CGC,Endereco
0,"ALUMINIO, SP",4841-0,"rua rio grande do sul num 637 - aluminio 181250 - aluminio, sp ag. numero: 4841-0"
1,"JUSTICA FEDERAL AMERICANA, SP",2156-3,"avenida de cillo num 1600 - cidade jardim 13466550 - americana, sp ag. numero: 2156-3"
2,"AGRO ARACATUBA, SP",4485-7,"avenida brasilia num 1867 - jardim nova yorque 160180 - aracatuba, sp ag. numero: 4485-7"
3,"CIDADE DOS ARACAS, SP",3302-2,"avenida do fico num 410 - sao joaquim 16050387 - aracatuba, sp ag. numero: 3302-2"
4,"JUSTICA DO TRABALHO ARACATUBA, SP",2397-3,"rua duque de caxias num 2130 - saudade 16020225 - aracatuba, sp ag. numero: 2397-3"
5,"JUSTICA FEDERAL ARACATUBA, SP",3971-3,"avenida joaquim pompeu de toledo num 1534 - vila estadio 1602050 - aracatuba, sp ag. numero: 3971-3"
6,"JUSTICA FEDERAL ARARAQUARA, SP",2683-2,"avenida padre francisco sales colturato num 658 - centro 148020 - araraquara, sp ag. numero: 2683-2"
7,"SAO BENTO DE ARARAQUARA, SP",2100-8,"rua 9 de julho num 1724 - centro 14801295 - araraquara, sp ag. numero: 2100-8"
8,"CIDADE DAS ARVORES, SP",0837-0,"rua tiradentes num 60 - centro 1360070 - araras, sp ag. numero: 0837-0"
9,"AGRO ASSIS, SP",7984-7,"avenida rui barbosa num 1506 - centro 198140 - assis, sp ag. numero: 7984-7"
10,"JUSTICA DO TRABALHO ASSIS, SP",2790-1,"rua walter antonio fontana num 625 - vila claudia 19815340 - assis, sp ag. numero: 2790-1"
11,"JUSTICA FEDERAL ASSIS, SP",4101-7,"rua vinte e quatro de maio num 265 - centro 1980030 - assis, sp ag. numero: 4101-7"
12,"JUIZADO ESPECIAL FEDERAL AVARE, SP",3110-0,"largo sao joao num 60 - centro 18700210 - avare, sp ag. numero: 3110-0"
13,"PLATAFORMA EMPRESAS ALPHAVILLE, SP",7361-0,"alameda araguaia num 240 - alphaville industrial 64550 - barueri, sp ag. numero: 7361-0"
14,"VINTE E SEIS DE MARCO, SP",1891-0,"avenida vinte e seis de marco num 445 - centro 640150 - barueri, sp ag. numero: 1891-0"
15,AG EMPRESARIAL CENTRO OESTE PTA,3090-2,"avenida getulio vargas quadra q 20-105 - parque jardim europa 17017383 - bauru, sp ag. numero: 3090-2"
16,"AGRO BAURU, SP",7483-7,"avenida getulio vargas num 21 e 51 - parque jardim europa 17017383 - bauru, sp ag. numero: 7483-7"
17,"AVENIDA DUQUE, SP",2989-0,"avenida duque de caxias quadra q 18-75 - vila cardia 1701166 - bauru, sp ag. numero: 2989-0"
18,"DIGITAL VITORIA REGIA, SP",5193-4,"avenida getulio vargas quadra q 20-105 - parque jardim europa 17017383 - bauru, sp ag. numero: 5193-4"
19,"JUSTICA FEDERAL BAURU, SP",3965-9,"rua gustavo maciel q 7-33 - centro 17010180 - bauru, sp ag. numero: 3965-9"
20,"PLAT DIG BAURU, SP",3758-3,"avenida getulio vargas quadra q 20-105 - parque jardim europa 17017383 - bauru, sp ag. numero: 3758-3"
21,"PLATAFORMA EMPRESAS BAURU, SP",6398-3,"avenida getulio vargas quadra q 20/105 - parque jardim europa 17017383 - bauru, sp ag. numero: 6398-3"
22,"VISTA ALEGRE, SP",4207-2,"avenida nacoes unidas q 27-72 - vila nova cidade universitaria 17012202 - bauru, sp ag. numero: 4207-2"
23,"MAITINGA, SP",2179-2,"avenida anchieta num 3005 - maitinga 11251175 - bertioga, sp ag. numero: 2179-2"
24,"JEF BOTUCATU, SP",3109-7,"avenida doutor vital brasil num 820 - vila sao lucio 18603193 - botucatu, sp ag. numero: 3109-7"
25,"JF BRAGANCA PAULISTA, SP",2746-4,"avenida dos imigrantes num 1411 - jardim america 129020 - braganca paulista, sp ag. numero: 2746-4"
26,"CACONDE, SP",2082-6,"rua nicolau fanuelli num 115 - centro 137700 - caconde, sp ag. numero: 2082-6"
27,AG EMPRESARIAL CAMPINAS,3094-5,"rua barao de jaguara num 1511 - centro 130152 - campinas, sp ag. numero: 3094-5"
28,CORPORATIVO AGRO SUDESTE,4672-8,"rua barao de jaguara num 1511 - centro 130151 - campinas, sp ag. numero: 4672-8"
29,CORPORATIVO INTERIOR SP,4272-2,"rua barao de jaguara num 1511 - centro 130152 - campinas, sp ag. numero: 4272-2"
30,"DIGITAL CIDADE ORQUIDEIRA, SP",5735-5,"rua barao de jaguara num 1511 - centro 130152 - campinas, sp ag. numero: 5735-5"
31,"DIGITAL METROPOLITANA CAMPINAS, SP",5996-0,"rua barao de jaguara num 1511 - centro 130152 - campinas, sp ag. numero: 5996-0"
32,"DIGITAL NOVA CAMPINAS, SP",2620-4,"rua barao de jaguara num 1511 - centro 130152 - campinas, sp ag. numero: 2620-4"
33,"JUSTICA FEDERAL CAMPINAS, SP",2554-2,"avenida aquidaban num 459 - bosque 13015210 - campinas, sp ag. numero: 2554-2"
34,"PARQUE PRADO, SP",1160-6,"avenida washington luis num 2300 - vila marieta 13042105 - campinas, sp ag. numero: 1160-6"
35,"PLAT DIG CAMPINAS, SP",3720-6,"rua barao de jaguara num 1511 - centro 130152 - campinas, sp ag. numero: 3720-6"
36,"PLAT DIG ESTACAO CULTURA, SP",5693-6,"rua barao de jaguara num 1194 - centro 130152 - campinas, sp ag. numero: 5693-6"
37,"PLATAFORMA EMPRESAS ANDORINHAS, SP",7457-8,"avenida francisco glicerio num 1480 - centro 13012100 - campinas, sp ag. numero: 7457-8"
38,"PLATAFORMA EMPRESAS LAG TAQUARAL,SP",6055-0,"avenida da saudade num 805 - ponte preta 13041670 - campinas, sp ag. numero: 6055-0"
39,PRIVATE SAO PAULO INTERIOR,4864-0,"rua barao de jaguara num 1511 - centro 130152 - campinas, sp ag. numero: 4864-0"
40,"SANASA CAMPINAS, SP",2722-7,"rua padre joao garcia num 10 - ponte preta 13041630 - campinas, sp ag. numero: 2722-7"
41,"TRT CAMPINAS, SP",4057-6,"rua barao de jaguara num 901 - centro 130151 - campinas, sp ag. numero: 4057-6"
42,"LITORAL PAULISTA NORTE, SP",4768-6,"avenida jose herculano num 1086 - pontal de santa marina 11672901 - caraguatatuba, sp ag. numero: 4768-6"
43,"14 DE ABRIL, SP",1798-1,"praca da republica num 05 - centro 15800105 - catanduva, sp ag. numero: 1798-1"
44,"JUSTICA DO TRABALHO CATANDUVA, SP",7666-0,"rua recife num 585 - centro 15800240 - catanduva, sp ag. numero: 7666-0"
45,"DUARTINA, SP",4320-6,"avenida sao paulo num 252 - centro 174700 - duartina, sp ag. numero: 4320-6"
46,"JUSTICA FEDERAL FRANCA, SP",3995-0,"avenida presidente vargas num 543 - cidade nova 14401110 - franca, sp ag. numero: 3995-0"
47,"PLATAFORMA EMPRESAS FRANCA, SP",7437-3,"rua monsenhor rosa num 1639 - centro 14400670 - franca, sp ag. numero: 7437-3"
