,Nome Fantasia,Razao Social,Endereco,CNPJ,Agencia Vinculada,E-mail,Atividade
0,CAIXA FACIL, PRISCILA MORAES DA COSTA ARAUJO 05895182755,"DONA ANTONIA DE VILHENA, 00000 - CENTRO
                                        23900-580. ANGRA DOS REIS - RJ
                                        (24) 92671696", 40.811.798/0001-76, 887, CAIXAFACILANGRA@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
1,CREDIMOB, CREDIMOB ASSESSORIA DE CREDITO E FINANCIAMENTOS LTDA,"JONH KENNEDY, 00000 - CENTRO
                                        28970-000. ARARUAMA - RJ
                                        (22) 988747266", 33.452.212/0001-69, 888, CREDIMOB.BR@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
2,KELY MAROTTI SOLUCOES IMOBILIARIAS, KELY MAROTTI SOLUCOES IMOBILIARIAS LTDA,"JOHN KENNEDY 0 SALA 07, 00000 - CENTRO
                                        28979-087. ARARUAMA - RJ
                                        (22) 974026381", 49.248.318/0001-85, 888, KELYMAROTTI@OUTLOOK.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
3,MV ASSESSORIA EM FINANCIAMENTOS LTDA, MV ASSESSORIA EM FINANCIAMENTOS LTDA,"ENCANTADO 12 QUADRA 59 LOTE 8, 00000 - CENTRO IGUABINHA
                                        28971-527. ARARUAMA - RJ
                                        (21) 970059831", 47.561.516/0001-79, 179, MARIO_MVN@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
4,T & E COMERCIO SERVICO E ADMINISTRACOES, T & E COMERCIO SERVICOS E ADMINISTRACOES LTDA,"AV NILO PECANHA 167 SALA 203, ARARUAMA, RJ, 167 - CENTRO
                                        28979-285. ARARUAMA - RJ
                                        (22) 997090152", 27.604.977/0001-74, 888, CCA.ARARUAMA@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
5,CAIXA AQUI BUZIOS, GRUPO AP SOLUCOES LTDA,"AV JOSE BENTO RIBEIRO DANTAS 5450 LJ 01, 5450 - MANGUINHOS
                                        28953-814. ARMACAO DOS BUZIOS - RJ
                                        (21) 996957575", 29.931.133/0001-63, 3825, ALESSANDRA@CAIXAAQUIBUZIOS.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
6,CAIXA AQUI BUZIOS, GRUPO AP SOLUCOES LTDA,"AV JOSE BENTO RIBEIRO DANTAS 5450 LJ 01, 5450 - MANGUINHOS
                                        28953-814. ARMACAO DOS BUZIOS - RJ
                                        (21) 996957575", 29.931.133/0001-63, 3825, ALESSANDRA@CAIXAAQUIBUZIOS.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
7,SINGULAR SERVICOS, M S SINGULAR SERVICOS LTDA,"PRACA DA INDEPENDENCIA 16 A,  - CENTRO
                                        28930-000.  - RJ
                                        (22) 26222447", 13.690.793/0001-60, 179, SINGULAR.FINANCIAMENTO@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
8,COMFORT HOUSE SOLUCOES PARA CONFORTO, CAZIRAGHI SUL COMERCIO E SERVICOS DE CLIMATIZACAO LTDA,"R JOSE HIPOLITO 425 CASA 08, 425 - COTIARA
                                        27345-000. BARRA MANSA - RJ
                                        (24) 33224815", 10.278.403/0001-50, 176, BARRAMANSA@COMFORTHOUSE.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
9,CONQUISTA EMPREENDIMENTOS IMOBILIARIOS, W RAYES EMPREENDIMENTOS IMOBILIARIOS LTD,"R MICHEL WARDINI, 10,  - CENTRO
                                        27330-100.  - RJ
                                        (24) 33223259", 11.292.365/0001-53, 176, CONTATO@CONQUISTARJ.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
10,LCA CORRESPONDENCIA E DESPACHADORIA, LINAMAR CARVALHO ALVES 08304849739,"RUA JOSE HIPOLITO 45 SALA 101, 00000 - CENTRO
                                        27345-000. BARRA MANSA - RJ
                                        (2) 474013425", 45.683.932/0001-14, 3147, Linamaralves@yahoo.com.br,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
11,LITORAL CREDITO FINANCIAMENTOS IMOBILIARIOS, LITORAL SERVICOS ADMINISTRATIVOS E FINANCEIROS LTDA,"EST BELFORD ROXO, 00000 - EST BELFORD ROXO 907 AP14 T 1 BLOC B
                                        26110-260. BELFORD ROXO - RJ
                                        (21) 996090059", 53.178.857/0001-62, 2270, CAIXA@LITORALCREDITO.COM.BR,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
12,NOSSO LAR, NOSSO LAR EMPREEDIMENTOS IMOBILIARIOS LT,"AV JOSÉ MARIANO DOS PASSOS 1040, 1040 - CENTRO
                                        26130-570. BELFORD ROXO - RJ
                                        (21) 26610263", 10.461.687/0001-16, 3406, NOSSOLAREMPIMOB@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
13,OSFERREIRAIMOVEIS LTDA, MARCELO FERREIRA IMOVEIS LTDA,"R ITAMBI 89 LOJA 02, 00000 - GRACAS
                                        26113-390. BELFORD ROXO - RJ
                                        (21) 991024368", 39.451.753/0001-59, 3390, OSFERREIRAIMOVEIS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
14,PORTELA CREDITO IMOBILIARIO, 40162594 JANAINA DE ARAUJO PORTELA,"JOAQUIM DA COSTA LIMA, 00000 - SAO BERNARDO
                                        26165-225. BELFORD ROXO - RJ
                                        (21) 970395514", 40.162.594/0001-51, 2973, JANAINA.PORTELA@LIVE.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
15,BABI FASHON, BARBARA CRUZ DE ALMEIDA 11845191706,"R ALCIDES LIMA 18, LOJA 2,  - BANQUETE
                                        28660-000.  - RJ
                                        (22) 988024139", 19.666.546/0001-04, 2060, BARBARA.ALMEIDA4@HOTMAIL.COM,"Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
16,MERCADO SANTA TEREZINHA E CONSTRUINDO SONHOS MATERIAL D, MERCADO SANTA TEREZINHA E CONSTRUINDO SONHOS MATERIAL DE CONSTRUCAO EIRELI,"R DR COLUMBINO TEIXEIRA SIQUEIRA 1107, 1107 - JARDIM VALERIA
                                        28360-000. BOM JESUS DO ITABAPOANA - RJ
                                        (22) 38310141", 07.400.089/0001-22, 178, CLOVESPOEIS@GMAIL.COM,"Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
17,N E VARIEDADES, N E VARIEDADES DE ROSAL LTDA ME,"AV FRANCISCO DINIZ 557 CENTRO,  - ROSAL
                                        28370-000.  - RJ
                                        (22) 38321253", 08.654.314/0001-10, 178, FLUJVG@GMAIL.COM,"Atividades Exercidas- BENEFICIOS SOCIAIS, PAGAMENTO DE BOLSA FAMILIA, FGTS, INSS, SEGURO DESEMPREGO E ABONO  - CONTA POUPANCA CAIXA FACIL- RECARGA CELULAR - RECEBIMENTO DE BOLETOS, CONTAS (AGUA, LUZ, TELEFONE E GAS), TRIBUTOS MUNICIPAIS E ESTADUAIS  - SAQUE/DEPOSITO/TRANSFERENCIAS DE CLIENTES CAIXA   - SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
18,BMF CABO FRIO, BMF CABO FRIO LTDA,"R CRISTAL 01 LJ202, 1 - PORTINHO
                                        28915-330. CABO FRIO - RJ
                                        (22) 999300189", 53.256.963/0001-17, 4437, CCA.LSFINANCIAMENTOS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
19,BMF FINANCIAMENTOS, BMF ASSESSORIA EM FINANCIAMENTOS LTDA,"R INDEPENDENCIA 204, 00000 - SAO CRISTOVAO
                                        28909-460. CABO FRIO - RJ
                                        (22) 30181588", 53.348.471/0001-51, 3825, CCA.LSFINANCIAMENTOS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
20,CORTES E CASTRO SERVIÇOS LTDA, CORTES E CASTRO SERVIÇOS LTDA,"AV ASSUNCAO 828 LOJA 02, 828 - CENTRO
                                        28906-200. CABO FRIO - RJ
                                        (22) 999152006", 11.059.278/0001-50, 179, CAIXAAQUICABOFRIO@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
21,FINANCIE AQUI, B LEAL CONSULTORIA E GESTAO ADMINISTRATIVA LTDA,"R MARIO QUINTANILHA 62 LOJA 11 QUADRA73 LOTE 238, 00000 - VILA NOVA
                                        28907-420. CABO FRIO - RJ
                                        (22) 992744147", 52.696.953/0001-30, 4437, FINANCIEAQUI.CONTATO@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
22,FINANCIE AQUI, GRAN ALLIANCE LTDA,"MARIO QUINTANILHA 62 LOJA 16, 00000 - VILA NOVA
                                        28907-420. CABO FRIO - RJ
                                        (22) 992744147", 28.641.984/0001-09, 179, FINANCIEAQUI.CAIXA@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
23,MM IMOVEIS, MEDEIROS E MELO NEGOCIOS IMOB LTDA,"AV NILO PECANHA, 325 - CENTRO
                                        28907-000. CABO FRIO - RJ
                                        (22) 26454292", 23.170.494/0001-58, 1243, MARCELA.MMIMOVEISCABOFRIO@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
24,LIANA DA SILVA AMARAL 09425305781, LIANA DA SILVA AMARAL 09425305781,"GOVERNADOR ROBERTO SILVEIRA 726 CASA 02, 00000 - CAMPO DO PRADO
                                        28680-000. CACHOEIRAS DE MACACU - RJ
                                        (21) 998772965", 12.797.374/0001-69, 2061, FPRCONSULTORIA@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
25,AGILIZE, AGILIZE - ASSESSORIA IMOBILIARIA LTDA,"RUA VINTE E UM DE ABRIL 219 LJ 03, 219 - CENTRO
                                        28013-080. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 998444561", 11.517.826/0001-49, 180, AG.0180@AGILIZECEF.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
26,BASE FORT, RANGEL FINANCIAMENTOS E IMOVEIS LTDA,"RUA SALDANHA MARINHO 458 SL 1111, 458 - CENTRO
                                        28010-272. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 30256229", 13.406.987/0001-90, 180, FINANCIAMENTOS@BASEFORT.NET,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
27,C ALARCON DA SILVA SERVICOS LTDA, C ALARCON DA SILVA SERVICOS LTDA,"MARECHAL DEODORO 46 LOJAS 01 E 02, 00000 - CENTRO
                                        28010-280. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 999619094", 48.929.337/0001-04, 3239, CIBELEAS1980@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
28,CREDIMOB, CREDIMOB CONS E ASSESSORIA EIRELI,"R MARCILIO DIAS, 35 PARTE,  - PQ TAMANDARÉ
                                        28035-015.  - RJ
                                        (22) 997673313", 27.663.489/0001-38, 4337, CREDIMOBCAMPOS@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
29,CREDIMOVEIS, CREDIMOVEIS CENTRO DE SERVICOS LTDA,"R VOLUNTARIOS DA PATRIA 514 SL 205, CAMPOS DOS GOYTACAZES, RJ, 514 - CENTRO
                                        28030-260. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 999263241", 34.714.359/0001-42, 3239, CREDIMOVEIS.HABITACAO@HOTMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
30,CREDIMOVEIS, RB BUSNISSES IMOBILIARIOS LTDA,"VOLUNTARIOS DA PATRIA 514 SALA 205, 00000 - CENTRO
                                        28030-260. CAMPOS DOS GOYTACAZES - RJ
                                        (2) 299600499", 35.059.089/0001-46, 3239, CREDIMOVEISRB@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
31,ELOCAMPOS CONSULTORIA IMOBILIARIA, ELOCAMPOS CONSULTORIA IMOBILIARIA LTDA,"AV PELINCA 413, 413 - PARQUE TAMANDARÉ
                                        28035-053. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 999111470", 09.588.498/0001-20, 4120, ELO.CORRESPONDENCIA@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
32,MASTER CRED, API CONSULTORIA IMOBILIARIA FINANCIAMENTOS E REPRESENTACOES LTDA,"R DOUTOR JOAO MARIA 422 LOJA 04, 422 - PARQUE JOAO MARIA
                                        28027-310. CAMPOS DOS GOYTACAZES - RJ
                                        (22) 998791628", 45.420.739/0001-90, 180, MASTERCREDCAIXA@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
33,MAX SERVICOS, MAX SERVICOS ADM E TRANS DE CARGAS EIREL,"RUA BARÃO DE MIRACEMA 210 LOJA 4,  - CENTRO
                                        28035-302.  - RJ
                                        (22) 27356567", 13.597.502/0001-93, 3239, MAXCRED.CONTATO@GMAIL.COM,"Atividades Exercidas- CARTAO DE CREDITO CAIXA - CONTA CORRENTE E POUPANCA (PF E PJ)- EMPRESTIMOS (CONSIGNADO/CDC/CHEQUE ESPECIAL/GIRO CAIXA/CREDITO REAL FACIL)- FINANCIAMENTO HABITACIONAL (SBPE/FGTS)- SEGUROS DE VIDA E RESIDENCIAL, CAPITALIZACAO E CONSORCIO (VEICULOS/IMOVEIS)"
