,0,1,2,3
0, R T M  ANGRA LOTERIA LTDA, 05.233.941/0001-99, 887, rtmangra@gmail.com
1, LOTERIA RAINHA DA SORTE LTDA, 17.856.425/0001-08, 887, loteriaangradosreis1@gmail.com
2, LOTERIA REI DA SORTE LTDA, 38.337.806/0001-42, 887, LOTERIAREIDASORTE1@GMAIL.COM
3, ATAIDE E VIEIRA LOTERIA LTDA, 30.262.895/0001-01, 4377, moradadasorte2018@gmail.com
4, PERCEGONI E SANTOS LOTERIA LTDA, 05.123.803/0001-57, 4377, nucleo.sorte@gmail.com
5, ROTA DA SORTE ANGRA LOTERIA LTDA, 05.107.926/0001-02, 887, rotadasorteangra@gmail.com
6, LOTERIA DE APERIBE LTDA, 05.326.189/0001-20, 1245, lotericaspa@gmail.com
7, KES SORTE PRAIA SECA LTDA, 18.867.075/0001-30, 888, kesfranco@gmail.com
8, IANNI LOTERIAS LTDA, 01.566.990/0001-92, 888, denisemi44@yahoo.com.br
9, LOTERIA POSITIVA, 19.659.177/0001-22, 888, denisemi44@yahoo.com.br
10, LOTERIA RODOVIARIA LTDA, 05.264.611/0001-60, 888, denisemi44@yahoo.com.br
11, SAO VICENTE LOTERIA LTDA, 17.105.810/0001-05, 888, denisemi44@yahoo.com.br
12, PEDRA BRUTA LOTERIA LTDA, 04.882.990/0001-90, 888, denisemi44@yahoo.com.br
13, KES SORTE PRAIA SECA LTDA, 18.867.075/0001-30, 888, kesfranco@gmail.com
14, IANNI LOTERIAS LTDA, 01.566.990/0001-92, 888, denisemi44@yahoo.com.br
15, LOTERIA POSITIVA, 19.659.177/0001-22, 888, denisemi44@yahoo.com.br
16, LOTERIA RODOVIARIA LTDA, 05.264.611/0001-60, 888, denisemi44@yahoo.com.br
17, SAO VICENTE LOTERIA LTDA, 17.105.810/0001-05, 888, denisemi44@yahoo.com.br
18, PEDRA BRUTA LOTERIA LTDA, 04.882.990/0001-90, 888, denisemi44@yahoo.com.br
19, SORTE DE AREAL LOTERICA LTDA., 04.172.945/0001-41, 195, sortedeareal@gmail.com
20, SORTE DE AREAL LOTERICA LTDA., 04.172.945/0001-41, 195, sortedeareal@gmail.com
21, BARRA DE OURO LOTERIA LTDA, 31.701.007/0001-64, 177, barradeouroloteria@gmail.com
22, CAMINHO DO OURO LOTERIA LTDA, 39.783.116/0001-80, 177, barradeouroloteria@gmail.com
23, OURO EM BARRA LOTERIAS LTDA, 05.342.477/0001-79, 177, vtaconfeccoes@gmail.com
24, LOTERIAS CALIFORNIA LTDA ME, 14.563.034/0001-07, 1504, loteriascalifornia@gmail.com
25, MINA DE OURO LOT BARRA PIRAI, 01.535.114/0001-07, 177, minadeouroloteriasbp@hotmail.com
26, LOTERIA DO LAZER LTDA, 10.725.207/0001-87, 176, lotlazer@hotmail.com
27, PONTO LOTERICO VIDA NOVA LTDA, 27.877.240/0001-25, 176, loteriamaraja@yahoo.com.br
28, IRMAOS LEIJOTO LOTERIAS LTDA ME, 14.512.995/0001-84, 176, loteriaaliancabm@outlook.com
29, LOTERIAS  MUNDIAL DE B. MANSA LTDA, 28.693.075/0001-14, 176, loteria.mundial@yahoo.com.br
